Unnamed: 0,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
881,6874853,Private room in a townhouse on Sukumvit Road,1325016,Gig,Khlong Toei,13.71498,100.59061,Private room,850,5,9,2020-03-31,0.16,1,101,0
882,6678298,Supalai Place Bangkok Apartment,34797035,Luchcha,Vadhana,13.71745,100.59082,Entire home/apt,3000,10,0,,0.0,1,365,0
885,6887803,Sribumpen plus,26078721,Koy,Sathon,13.72001,100.54619,Private room,900,1,5,2019-01-02,0.06,1,359,0
889,6718608,Condominium 1 Bed Room for rent,19357671,Keerati,Vadhana,13.73833,100.58427,Entire home/apt,999,30,0,,0.0,1,358,0
895,6918003,"Resident area, near BDMS hospital Jodd Fairs Mkt",26403351,Pong,Huai Khwang,13.75108,100.58971,Private room,615,28,85,2022-11-22,0.95,3,346,3
903,6949824,"studio, 900 m to BTS Phrom Phong BTS",23888912,Nalinee,Vadhana,13.73761,100.5746,Entire home/apt,1200,30,7,2022-11-28,0.08,1,0,5
904,5962480,Modern comfortable 1B. GREAT VIEW!,4100838,Siri,Ratchathewi,13.75499,100.54328,Entire home/apt,1400,21,28,2022-10-29,0.3,3,325,3
905,5964843,The Mustang Nero/No.4 The Horse,30963587,Themustang,Khlong Toei,13.71143,100.5939,Hotel room,2329,1,486,2022-12-06,5.26,10,47,6
906,5969642,"Cozy apartment, heart of Bangkok!",10061428,Wipawe,Khlong Toei,13.72774,100.5703,Entire home/apt,1197,28,43,2022-08-25,0.47,2,325,4
915,7836927,One BR. 50sqm (Sukhumvit 4),14461657,Mind,Khlong Toei,13.73486,100.55336,Entire home/apt,1886,2,44,2022-11-20,0.51,5,330,6
919,6984014,Hip luxury cosy sukhumvit 1bed sukhumvit,35960571,Rin,Khlong Toei,13.72123,100.57955,Entire home/apt,1450,4,9,2017-01-30,0.1,1,118,0
